Date,Close
2024-03-07,167.48
2024-03-08,169.19
2024-03-11,171.19
2024-03-12,171.67
2024-03-13,169.59
2024-03-14,171.44
2024-03-15,171.06
2024-03-18,172.15
2024-03-19,174.49
2024-03-20,177.06
2024-03-21,169.82
2024-03-22,170.73
2024-03-25,169.31
2024-03-26,168.18
2024-03-27,171.75
2024-03-28,169.93
2024-04-01,168.5
2024-04-02,167.32
2024-04-03,168.12
2024-04-04,167.3
2024-04-05,168.05
2024-04-08,166.93
2024-04-09,168.14
2024-04-10,166.27
2024-04-11,173.46
2024-04-12,174.96
2024-04-15,171.13
2024-04-16,167.85
2024-04-17,166.48
2024-04-18,165.53
2024-04-19,163.51
2024-04-22,164.34
2024-04-23,165.39
2024-04-24,167.5
2024-04-25,168.36
2024-04-26,167.77
2024-04-29,171.94
2024-04-30,168.79
2024-05-01,167.77
2024-05-02,171.47
2024-05-03,181.73
2024-05-06,180.07
2024-05-07,180.75
2024-05-08,181.09
2024-05-09,182.91
2024-05-10,181.65
2024-05-13,184.85
2024-05-14,185.99
2024-05-15,188.26
2024-05-16,188.38
2024-05-17,188.41
2024-05-20,189.57
2024-05-21,190.87
2024-05-22,189.43
2024-05-23,185.45
2024-05-24,188.52
2024-05-28,188.53
2024-05-29,188.83
2024-05-30,189.82
2024-05-31,190.77
2024-06-03,192.54
2024-06-04,192.86
2024-06-05,194.37
2024-06-06,192.99
2024-06-07,195.38
2024-06-10,191.64
2024-06-11,205.56
2024-06-12,211.43
2024-06-13,212.6
2024-06-14,210.86
2024-06-17,215.01
2024-06-18,212.65
2024-06-20,208.07
2024-06-21,205.9
2024-06-24,206.54
2024-06-25,207.47
2024-06-26,211.61
2024-06-27,212.46
2024-06-28,209.0
2024-07-01,215.09
2024-07-02,218.58
2024-07-03,219.85
2024-07-05,224.6
2024-07-08,226.07
2024-07-09,226.92
2024-07-10,231.19
2024-07-11,225.82
2024-07-12,228.77
2024-07-15,232.6
2024-07-16,233.02
2024-07-17,227.12
2024-07-18,222.46
2024-07-19,222.59
2024-07-22,222.24
2024-07-23,223.28
2024-07-24,216.86
2024-07-25,215.82
2024-07-26,216.29
2024-07-29,216.57
2024-07-30,217.12
2024-07-31,220.38
2024-08-01,216.68
2024-08-02,218.17
2024-08-05,207.66
2024-08-06,205.64
2024-08-07,208.21
2024-08-08,211.67
2024-08-09,214.58
2024-08-12,216.11
2024-08-13,219.83
2024-08-14,220.27
2024-08-15,223.25
2024-08-16,224.57
2024-08-19,224.42
2024-08-20,225.03
2024-08-21,224.92
2024-08-22,223.06
2024-08-23,225.36
2024-08-26,225.7
2024-08-27,226.54
2024-08-28,225.01
2024-08-29,228.29
2024-08-30,227.51
2024-09-03,221.32
2024-09-04,219.41
2024-09-05,220.93
2024-09-06,219.38
2024-09-09,219.47
2024-09-10,218.67
2024-09-11,221.21
2024-09-12,221.32
2024-09-13,221.05
2024-09-16,214.91
2024-09-17,215.38
2024-09-18,219.25
2024-09-19,227.38
2024-09-20,226.71
2024-09-23,224.99
2024-09-24,225.89
2024-09-25,224.89
2024-09-26,226.04
2024-09-27,226.3
2024-09-30,231.48
2024-10-01,224.73
2024-10-02,225.3
2024-10-03,224.2
2024-10-04,225.32
2024-10-07,220.24
2024-10-08,224.3
2024-10-09,228.04
2024-10-10,227.55
2024-10-11,226.07
2024-10-14,229.79
2024-10-15,232.32
2024-10-16,230.27
2024-10-17,230.63
2024-10-18,233.47
2024-10-21,234.94
2024-10-22,234.32
2024-10-23,229.25
2024-10-24,229.07
2024-10-25,229.9
2024-10-28,231.88
2024-10-29,232.15
2024-10-30,228.6
2024-10-31,224.44
2024-11-01,221.46
2024-11-04,220.56
2024-11-05,221.99
2024-11-06,221.27
2024-11-07,226.0
2024-11-08,225.73
2024-11-11,223.01
2024-11-12,223.01
2024-11-13,223.9
2024-11-14,226.98
2024-11-15,223.78
2024-11-18,226.78
2024-11-19,227.04
2024-11-20,227.76
2024-11-21,227.28
2024-11-22,228.62
2024-11-25,231.6
2024-11-26,233.78
2024-11-27,233.65
2024-11-29,236.04
2024-12-02,238.29
2024-12-03,241.33
2024-12-04,241.69
2024-12-05,241.72
2024-12-06,241.52
2024-12-09,245.41
2024-12-10,246.42
2024-12-11,245.15
2024-12-12,246.61
2024-12-13,246.78
2024-12-16,249.68
2024-12-17,252.1
2024-12-18,246.7
2024-12-19,248.43
2024-12-20,253.11
2024-12-23,253.88
2024-12-24,256.8
2024-12-26,257.61
2024-12-27,254.2
2024-12-30,250.83
2024-12-31,249.06
2025-01-02,242.53
2025-01-03,242.04
2025-01-06,243.67
2025-01-07,240.89
2025-01-08,241.38
2025-01-10,235.56
2025-01-13,233.13
2025-01-14,232.01
2025-01-15,236.58
2025-01-16,227.02
2025-01-17,228.73
2025-01-21,221.43
2025-01-22,222.61
2025-01-23,222.44
2025-01-24,221.57
2025-01-27,228.61
2025-01-28,236.97
2025-01-29,238.06
2025-01-30,236.3
2025-01-31,234.72
2025-02-03,226.77
2025-02-04,231.54
2025-02-05,231.21
2025-02-06,231.95
2025-02-07,226.39
2025-02-10,226.66
2025-02-11,231.61
2025-02-12,235.84
2025-02-13,240.48
2025-02-14,243.54
2025-02-18,243.41
2025-02-19,243.81
2025-02-20,244.76
2025-02-21,244.48
2025-02-24,246.03
2025-02-25,245.97
2025-02-26,239.32
2025-02-27,236.27
2025-02-28,240.79
2025-03-03,237.0
2025-03-04,234.91
2025-03-05,234.72
2025-03-06,234.31
2025-03-07,238.03
2025-03-10,226.49
2025-03-11,219.88
2025-03-12,216.04
2025-03-13,208.77
2025-03-14,212.56
2025-03-17,213.07
2025-03-18,211.77
2025-03-19,214.31
2025-03-20,213.17
2025-03-21,217.32
2025-03-24,219.77
2025-03-25,222.78
2025-03-26,220.57
2025-03-27,222.88
2025-03-28,216.95
2025-03-31,221.17
2025-04-01,222.22
2025-04-02,222.92
2025-04-03,202.31
2025-04-04,187.56
2025-04-07,180.67
2025-04-08,171.67
2025-04-09,197.99
2025-04-10,189.59
2025-04-11,197.29
2025-04-14,201.64
2025-04-15,201.26
2025-04-16,193.43
2025-04-17,196.13
2025-04-21,192.32
2025-04-22,198.87
2025-04-23,203.71
2025-04-24,207.47
2025-04-25,208.37
2025-04-28,209.23
2025-04-29,210.29
2025-04-30,211.58
2025-05-01,212.39
2025-05-02,204.46
2025-05-05,198.03
2025-05-06,197.65
2025-05-07,195.4
2025-05-08,196.63
2025-05-09,197.67
2025-05-12,210.15
2025-05-13,212.28
2025-05-14,211.69
2025-05-15,210.81
2025-05-16,210.62
2025-05-19,208.15
2025-05-20,206.23
2025-05-21,201.48
2025-05-22,200.75
2025-05-23,194.68
2025-05-27,199.6
2025-05-28,199.81
2025-05-29,199.34
2025-05-30,200.24
2025-06-02,201.09
2025-06-03,202.65
2025-06-04,202.2
